Inf;Player;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Beñat Turrientes;12;14;13;8;13;12;14;13;10;12;14;A;Unknown;Team Player;Pays Basque;Very Strong;Spain;True;Fairly Strong;179 cm;23;Okay;Extensive Knowledge;Average;13;6;15;1;15;7;1;14;10;12;10;8;Spain;First Division;15;13;14;12;12;12;Real San Sebastián;13;10;12;13;11;14;12;14;4;3;3;4;3;1;1;3;3;1;€56M - €82M;A
;Abdul Fatawu;17;15;11;8;11;15;11;12;11;6;14;A;Unknown;Speed;;Weak;Ghana;False;Very Strong;177 cm;21;Superb;Extensive Knowledge;Above Average;7;10;12;6;14;5;2;12;13;16;12;11;England;Sky Bet Championship;12;12;12;10;12;8;Leicester;11;15;11;10;14;12;10;12;2;1;1;3;2;1;3;3;2;3;€28M - €35M;A
;Ander Barrenetxea;14;14;15;8;13;15;13;12;10;8;15;A;Unknown;Speed;Pays Basque;Very Strong;Spain;True;Fairly Strong;175 cm;23;Okay;Extensive Knowledge;High;8;14;13;7;11;8;1;12;14;16;14;12;Spain;First Division;14;14;15;12;15;12;Real San Sebastián;13;15;13;14;12;13;12;13;1;1;1;3;3;1;1;3;4;2;€75M;A
;Luiz Henrique;16;15;14;12;15;15;14;12;8;7;17;A;;Speed;;Reasonable;Brazil;False;Very Strong;182 cm;24;Good;Extensive Knowledge;Very Low;11;13;14;7;13;11;2;13;10;17;11;10;Russia;Premier League;12;12;12;11;13;8;Zenit;12;15;14;10;10;13;13;12;3;1;3;3;2;2;3;1;3;1;€31M - €45M;A
;Fábio Carvalho;15;16;11;8;13;14;11;8;11;8;15;A;Unknown;Speed;England;Very Strong;Portugal;True;Reasonable;170 cm;23;Okay;Extensive Knowledge;Average;8;12;13;5;11;7;2;14;12;15;11;12;England;Premier League;12;12;14;8;13;7;Brentford;12;15;14;11;12;13;13;11;3;3;3;2;1;3;3;2;2;3;€41M - €50M;A
;Lutsharel Geertruida;13;13;15;13;14;13;14;14;8;13;13;A;;Team Player;Curaçao;Very Strong;Netherlands;True;Reasonable;184 cm;25;Slightly Poor;Extensive Knowledge;Above Average;13;12;14;13;9;14;2;13;8;12;11;8;England;Premier League;15;16;13;13;12;13;Sunderland;12;10;15;13;12;14;13;14;2;2;1;3;2;3;1;1;3;3;€15.5M - €23M;A
;Joshua Zirkzee;12;14;13;13;15;12;14;14;11;5;18;A;Unknown;Unknown;Nigeria;Very Strong;Netherlands;True;Fairly Strong;193 cm;24;Fairly Good;Extensive Knowledge;Average;6;13;16;3;12;12;1;15;13;17;9;4;England;Premier League;12;18;16;6;14;9;Man Utd;14;19;13;13;8;13;15;9;1;3;2;1;3;3;2;3;2;3;€52M - €77M;A
;Amar Dedić;14;16;12;10;12;15;14;12;7;12;15;A;Unknown;Speed;Austria;Very Strong;Austria;True;Fairly Strong;180 cm;23;Fair;Extensive Knowledge;Very Low;14;8;13;10;9;10;2;13;11;16;9;7;Portugal;Premier League;15;9;13;11;16;12;Benfica;11;17;17;14;16;12;13;15;2;1;1;2;1;2;1;3;2;1;€18M - €22M;A
;Malcom;16;17;16;6;13;11;12;10;14;5;16;A-;Unknown;Skill;Russia;Fairly Strong;Brazil;False;Very Strong;171 cm;28;Superb;Extensive Knowledge;Very Low;5;10;15;6;14;9;1;16;14;17;13;14;Saudi Arabia;Saudi Premier Division;11;10;15;7;16;8;Al-Hilal;13;17;15;11;8;13;15;9;2;3;2;3;1;2;1;2;1;1;€51M - €62M;A-
Wnt;Mats Wieffer;13;12;12;14;14;14;15;12;11;12;13;A-;;Team Player;;Very Strong;Netherlands;True;Fairly Strong;188 cm;25;Fairly Good;Extensive Knowledge;Below Average;16;10;13;7;11;13;3;13;6;11;7;11;England;Premier League;16;16;14;12;12;13;Brighton;14;10;15;14;14;14;14;15;2;3;3;3;3;4;3;2;4;3;€45M - €53M;A-
